plot,trt,level,year,rep,f.LAI.soy,f.LAI.rag,f.LAI.ratio,f.rTDM.m2,s.LAI.soy,s.LAI.rag,s.LAI.ratio,s.rTDM.m2,t.LAI.soy,t.LAI.rag,t.LAI.ratio,t.rTDM.m2,l.LAI.soy,l.LAI.rag,l.LAI.ratio,l.rTDM.m2,ADJrhd,ADJrhd.m2,grams.20ft,H2O,ADJ_yield,YL
115,2,100,2016,1,1.07,0,0,0,3.29,0,0,0,4.4,0,0,0,3.69,0,0,0,0,0,2052.8,13.5,2041,0
215,2,100,2016,2,0.9,0,0,0,4.13,0,0,0,4.85,0,0,0,3.35,0,0,0,0,0,1998.2,17.9,1885.66,0
303,2,100,2016,3,1.11,0,0,0,3.78,0,0,0,5.02,0,0,0,3.75,0,0,0,0,0,2193.2,15.3,2135.22,0
405,2,100,2016,4,1.45,0,0,0,2.58,0,0,0,6.84,0,0,0,3.81,0,0,0,0,0,2137.2,12.1,2159.31,0
310,3,50,2016,3,1.17,0.04,0.03,5.15,2.57,0.36,0.12,44.57,3.94,0.49,0.11,109.3,1.61,0.66,0.29,307.41,2.95,3.871393177,1854.6,13,1854.6,0.1297
207,3,50,2016,2,0.94,0.11,0.1,12.19,2.99,0.28,0.09,17.73,4.32,0.77,0.15,132.2,3.37,0.25,0.07,1109.06,1.64,2.152232139,1566,13.6,1555.2,0.1913
205,3,0,2016,2,0.94,0.21,0.18,22.75,1.99,0.31,0.14,23.67,3.35,1.59,0.32,257.45,4.53,0.12,0.03,40.66,1.64,2.152232139,1509.8,14.3,1487.24,0.2496
406,3,50,2016,4,0.93,0.09,0.09,10.12,2.62,0.12,0.04,7.61,4.63,0.3,0.06,39.01,3.64,0.46,0.11,226.74,1.97,2.58530324,1595.4,16.3,1534.88,0.2679
415,3,0,2016,4,1.04,0.02,0.01,1.27,3.52,0.12,0.03,9.93,3.53,0.43,0.11,98.59,4.14,0.59,0.12,202.9,2.13,2.795277107,1512,14.8,1480.72,0.2996
109,3,50,2016,1,0.81,0.04,0.05,5.62,2.92,0.1,0.03,12.78,3.56,0.36,0.09,135.49,3.01,0.67,0.18,231.22,1.48,1.942258272,1522.8,19.1,1416.03,0.3027
114,3,100,2016,1,0.72,0.05,0.06,4.07,2.55,0.16,0.06,18.38,4.56,0.52,0.1,118.73,5,0.2,0.04,93.91,1.97,2.58530324,1433.2,14.2,1413.43,0.3075
314,3,0,2016,3,0.94,0.06,0.06,7.02,2.37,0.27,0.1,24.62,4.64,1.13,0.2,178.49,2.38,0.55,0.19,226.3,2.3,3.018374341,1282.6,18.4,1202.99,0.3876
212,3,100,2016,2,0.99,0.05,0.05,6.29,2.99,0.34,0.1,26.41,2.43,0.41,0.15,49.8,3.37,0.86,0.2,383.74,1.48,1.942258272,1220.4,18,1150.26,0.39
401,3,100,2016,4,1.35,0.21,0.13,17.37,3.49,0.03,0.01,2.02,3.58,0.87,0.2,137.23,3.28,0.94,0.22,572.13,1.8,2.362206006,1301.6,13.9,1288.14,0.4035
101,3,0,2016,1,0.76,0.05,0.06,3.99,3.17,0.3,0.09,31.57,2.66,0.85,0.24,154.53,3.1,0.39,0.11,251.99,2.13,2.795277107,1394.4,18.9,1299.84,0.4051
301,3,100,2016,3,0.69,0.03,0.04,3.3,3.49,0.23,0.06,22.37,3.95,0.8,0.17,208.67,2.36,0.59,0.2,248.5,2.13,2.795277107,1252,12.9,1253.44,0.413
202,4,0,2016,2,0.87,0.17,0.16,19.83,2.2,0.37,0.14,40.2,2.49,1.08,0.3,176.9,2.66,1.73,0.39,280.05,6.73,8.832025789,953.4,16.1,919.43,0.5361
111,4,100,2016,1,0.47,0.05,0.09,4.6,2.04,0.9,0.31,113.01,4.46,0.38,0.08,364.57,1.88,1.06,0.36,290.43,6.07,7.965883587,992,18.8,925.87,0.5464
311,4,0,2016,3,0.51,0.13,0.2,21.84,1.83,0.76,0.29,58.82,2.4,0.74,0.24,173.95,3.04,0.51,0.14,481.78,4.76,6.246722549,872,14.7,854.96,0.5648
107,4,50,2016,1,0.38,0.04,0.08,6.04,2.48,0.33,0.12,44.79,4.87,1.71,0.26,175.96,2.09,0.69,0.25,499.01,4.76,6.246722549,881.8,13.6,875.72,0.5687
210,4,50,2016,2,0.87,0.06,0.06,13.54,2.4,0.78,0.24,63.61,3.16,0.63,0.17,197.42,3.15,1.14,0.27,166.93,5.09,6.67979365,893.8,20.8,813.67,0.5769
409,4,50,2016,4,1.01,0.14,0.12,41.67,1.81,1.4,0.44,88.6,1.04,1.65,0.61,116.7,3.1,0.96,0.24,521.26,5.09,6.67979365,822.2,25.9,700.29,0.666
304,4,100,2016,3,0.75,0.07,0.09,10.93,2.05,0.46,0.18,71.73,3.42,1.49,0.3,579.99,2.65,0.76,0.22,650.79,6.07,7.965883587,702.4,18.8,655.57,0.693
104,4,0,2016,1,0.7,0.05,0.07,10.37,2.08,0.43,0.17,45.16,3.37,0.96,0.22,195.96,1.74,0.46,0.21,1007.06,6.89,9.041999656,647.2,12.8,648.69,0.7031
308,4,50,2016,3,0.55,0.08,0.13,23.77,1.54,0.37,0.19,64.8,3.05,0.56,0.15,149.45,3.33,0.43,0.11,441.99,6.07,7.965883587,587.4,15.4,571.2,0.732
